,id,title,portrait_url,url
1,1cfe5261-d737-3273-b239-99098d70d0e3,Jordan Max 200,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/i1-72027582-2daa-46d0-b7e6-7798c56667ad/image.jpg",{countryLang}/t/calzado-jordan-max-200-sqSPsZ/CD6105-101
2,040320a0-a6e6-34e8-bea0-d800e3a0b981,Nike Court Vintage Premium,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/i1-16200bdf-1a22-4220-94c7-b9e7b34626f6/image.jpg",{countryLang}/t/calzado-court-vintage-premium-3X1v0g/CW7586-100
3,8373a73a-50b6-3da5-a591-6f76cbc75730,Nike SB Adversary,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/i1-78a04448-9b14-4101-a7d5-042d295772a0/image.jpg",{countryLang}/t/calzado-de-skateboarding-sb-adversary-HCLc9T/CJ0887-100
4,86d99542-576d-3859-9055-709cbaffb49a,Nike SB Zoom Stefan Janoski Canvas RM,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/arbctzw5mdi6ca89cyhe/image.jpg",{countryLang}/t/calzado-de-skateboarding-sb-zoom-stefan-janoski-canvas-rm-n6DbF6/AR7718-100
5,d34e1472-fcff-31e9-8fdc-97cef11350fb,Nike Court Vintage Premium,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/de317847-20e7-48a5-93a9-36295235e4cf/image.jpg",{countryLang}/t/calzado-court-vintage-premium-PgwXmd/CT1726-100
6,36726458-7e8c-3b58-b0f7-9be7aa11a03d,Kyrie 6,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/ef0fab4a-d317-4106-ad40-ba6981fe9cd6/calzado-de-básquetbol-kyrie-6-Knb8rc.jpg",{countryLang}/t/calzado-de-básquetbol-kyrie-6-Knb8rc/BQ4630-101
7,4aafe2c2-5920-30d5-ac91-21c0ca607ff3,Jordan Max 200,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/0919bd1d-6e3e-4b2b-9a5d-07f3b0eaf83c/image.jpg",{countryLang}/t/calzado-jordan-max-200-RpfSqd/CW7590-100
8,10cbfa45-7a63-30aa-8727-94aa01c7d558,Nike Air VaporMax Flyknit 3,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/wxe4gb7zjiey9eejirq0/image.jpg",{countryLang}/t/calzado-air-vapormax-flyknit-3-35djVF/AJ6900-102
9,a6e7144d-838f-3b99-9db5-427dbeb9a9f8,Jordan Jumpman 2020,"https://static.nike.com/a/images/ar_4:5,c_pad,w_400,f_auto/t_product_v1/4955eeff-2823-43be-963b-3ad7daa621c2/calzado-de-básquetbol-jordan-jumpman-2020-QK68fT.jpg",{countryLang}/t/calzado-de-básquetbol-jordan-jumpman-2020-QK68fT/BQ3449-401
10,28317186-14e7-3c69-ae2a-c9db50278883,Air Jordan 1 Low SE,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c15245b1-7206-4509-9b43-827a33d62d60/image.jpg",{countryLang}/t/calzado-air-jordan-1-low-se-WVD9t8/CK3022-003
11,a3c271ad-2cf5-3b6e-8fa4-29a5f842c993,Jordan Max 200,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/04747138-2fdf-43f5-8296-e973710e20c7/image.jpg",{countryLang}/t/calzado-jordan-max-200-wQtxVJ/CW7592-100
12,8624ef33-9a6f-3b97-87b5-ef4067305559,Nike Air VaporMax 360,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/fe6fa7f2-a27a-4191-b153-f86bebbf808d/image.jpg",{countryLang}/t/calzado-air-vapormax-360-Mfrnqc/CK2718-001
14,ce709219-ba13-39e5-bad5-818f3548ef94,Nike SB Air Max Stefan Janoski 2,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/vthm5bmbv1dsuhy83i5v/image.jpg",{countryLang}/t/calzado-de-skateboarding-sb-air-max-stefan-janoski-2-s05dbb/AQ7477-004
15,cfa1c75a-a398-34d4-abf1-d8ea99b43824,Nike Air Max Plus,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/i1-1980b171-0f44-4074-bae6-71cbef2a2767/image.jpg",{countryLang}/t/calzado-air-max-plus-pBf8wH/CW2646-001
16,c7e67906-05bc-30a7-ba20-7f2c2122a94b,Jordan Delta,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/cc550d61-2431-4bcb-b432-83b5819ed2b3/image.jpg",{countryLang}/t/calzado-jordan-delta-m2rdCR/CD6109-001
